
Final Assignment...
taxi:42, taxiLoc:7149, reqId:10, reqTime:37, startLoc:7114, descLoc:1827
taxi:19, taxiLoc:4768, reqId:35, reqTime:37, startLoc:3625, descLoc:356
taxi:43, taxiLoc:1913, reqId:81, reqTime:37, startLoc:9697, descLoc:6799
taxi:44, taxiLoc:6446, reqId:27, reqTime:38, startLoc:9404, descLoc:9858
taxi:45, taxiLoc:5093, reqId:68, reqTime:38, startLoc:9876, descLoc:7836
taxi:2, taxiLoc:551, reqId:25, reqTime:39, startLoc:7565, descLoc:4679
taxi:15, taxiLoc:5322, reqId:59, reqTime:39, startLoc:5947, descLoc:6731
taxi:9, taxiLoc:5167, reqId:18, reqTime:40, startLoc:5899, descLoc:1833
taxi:47, taxiLoc:8069, reqId:26, reqTime:40, startLoc:142, descLoc:1567
taxi:20, taxiLoc:3062, reqId:75, reqTime:40, startLoc:1193, descLoc:7079
taxi:8, taxiLoc:3965, reqId:82, reqTime:40, startLoc:5317, descLoc:3976
taxi:4, taxiLoc:8442, reqId:118, reqTime:40, startLoc:2251, descLoc:1709
taxi:3, taxiLoc:4239, reqId:119, reqTime:40, startLoc:3244, descLoc:2697
taxi:46, taxiLoc:5423, reqId:57, reqTime:41, startLoc:3567, descLoc:3578
taxi:27, taxiLoc:6023, reqId:43, reqTime:42, startLoc:5673, descLoc:9902
taxi:16, taxiLoc:6098, reqId:95, reqTime:43, startLoc:9426, descLoc:9611
taxi:21, taxiLoc:1303, reqId:107, reqTime:43, startLoc:1349, descLoc:3510
taxi:23, taxiLoc:2126, reqId:111, reqTime:43, startLoc:2260, descLoc:1319
taxi:25, taxiLoc:9821, reqId:17, reqTime:44, startLoc:6169, descLoc:4765
taxi:38, taxiLoc:9472, reqId:22, reqTime:44, startLoc:5110, descLoc:323
taxi:48, taxiLoc:5035, reqId:48, reqTime:44, startLoc:8274, descLoc:9841
taxi:6, taxiLoc:589, reqId:91, reqTime:44, startLoc:500, descLoc:9458
taxi:49, taxiLoc:864, reqId:112, reqTime:44, startLoc:1028, descLoc:6721
taxi:5, taxiLoc:8167, reqId:50, reqTime:46, startLoc:8456, descLoc:2258
taxi:14, taxiLoc:7007, reqId:62, reqTime:46, startLoc:5203, descLoc:3124
taxi:50, taxiLoc:394, reqId:76, reqTime:48, startLoc:4818, descLoc:8586
taxi:17, taxiLoc:7390, reqId:105, reqTime:48, startLoc:6874, descLoc:4408
taxi:7, taxiLoc:1382, reqId:70, reqTime:49, startLoc:8292, descLoc:990
taxi:29, taxiLoc:6008, reqId:103, reqTime:49, startLoc:5674, descLoc:9423
taxi:1, taxiLoc:2441, reqId:97, reqTime:50, startLoc:2686, descLoc:1814
taxi:13, taxiLoc:8765, reqId:8, reqTime:51, startLoc:4613, descLoc:8756
taxi:8, taxiLoc:3976, reqId:11, reqTime:52, startLoc:9218, descLoc:8095
taxi:26, taxiLoc:4201, reqId:89, reqTime:52, startLoc:4254, descLoc:4232
taxi:15, taxiLoc:6731, reqId:46, reqTime:53, startLoc:5763, descLoc:4080
taxi:24, taxiLoc:7764, reqId:31, reqTime:54, startLoc:5019, descLoc:2261
taxi:32, taxiLoc:5529, reqId:37, reqTime:54, startLoc:6400, descLoc:3654
taxi:22, taxiLoc:1268, reqId:12, reqTime:54, startLoc:1082, descLoc:8747
taxi:30, taxiLoc:9717, reqId:61, reqTime:54, startLoc:6587, descLoc:3063
taxi:12, taxiLoc:2203, reqId:67, reqTime:55, startLoc:3640, descLoc:4303
taxi:14, taxiLoc:3124, reqId:72, reqTime:55, startLoc:4021, descLoc:7800
taxi:40, taxiLoc:6941, reqId:116, reqTime:55, startLoc:6573, descLoc:6033
taxi:33, taxiLoc:9322, reqId:39, reqTime:56, startLoc:4677, descLoc:5324
taxi:51, taxiLoc:2143, reqId:51, reqTime:58, startLoc:9076, descLoc:670
taxi:2, taxiLoc:4679, reqId:54, reqTime:58, startLoc:4096, descLoc:2103
taxi:31, taxiLoc:1200, reqId:117, reqTime:58, startLoc:9450, descLoc:3443
taxi:5, taxiLoc:2258, reqId:71, reqTime:58, startLoc:3702, descLoc:8106
taxi:4, taxiLoc:1709, reqId:32, reqTime:60, startLoc:838, descLoc:5799
taxi:23, taxiLoc:1319, reqId:120, reqTime:60, startLoc:4249, descLoc:7746
taxi:25, taxiLoc:4765, reqId:38, reqTime:60, startLoc:5909, descLoc:8776

Total: 3.6460507297218996
Avg: 0.03038375608101583

Start Time:Thu Apr 14 23:46:08 SGT 2016
End Time:Thu Apr 14 23:52:07 SGT 2016
Duration(sec):359.191
