chosen-taxiId:42, reqId:45, taxiLoc:7149, startLoc:8264, descLoc:8615, wait:-10.193625140337108
chosen-taxiId:16, reqId:56, taxiLoc:264, startLoc:6038, descLoc:623, wait:-11.904299649918212
chosen-taxiId:97, reqId:14, taxiLoc:8057, startLoc:6450, descLoc:7390, wait:-15.409088326763793
chosen-taxiId:10, reqId:30, taxiLoc:9453, startLoc:7726, descLoc:7764, wait:-15.234334690594498
chosen-taxiId:23, reqId:33, taxiLoc:6578, startLoc:361, descLoc:9720, wait:-13.580325140796301
chosen-taxiId:66, reqId:80, taxiLoc:458, startLoc:9628, descLoc:7655, wait:-10.525516950014303
chosen-taxiId:17, reqId:88, taxiLoc:9167, startLoc:4868, descLoc:38, wait:-4.0475191722742
chosen-taxiId:37, reqId:90, taxiLoc:247, startLoc:9668, descLoc:7600, wait:-11.047157638729406
chosen-taxiId:68, reqId:21, taxiLoc:2057, startLoc:4717, descLoc:8315, wait:-18.3187045764958
chosen-taxiId:74, reqId:44, taxiLoc:734, startLoc:5544, descLoc:9472, wait:-18.1744383576873
chosen-taxiId:31, reqId:73, taxiLoc:9122, startLoc:1928, descLoc:8806, wait:-16.8471496719686
chosen-taxiId:3, reqId:34, taxiLoc:8148, startLoc:4332, descLoc:7885, wait:-16.116535783058104
chosen-taxiId:63, reqId:58, taxiLoc:570, startLoc:9413, descLoc:6941, wait:-18.366775024943095
chosen-taxiId:60, reqId:85, taxiLoc:1512, startLoc:9610, descLoc:456, wait:-17.581633404514797
chosen-taxiId:7, reqId:10, taxiLoc:8050, startLoc:7114, descLoc:1827, wait:-15.015136503173192
chosen-taxiId:40, reqId:35, taxiLoc:8528, startLoc:3625, descLoc:356, wait:-1.0409349160357024
chosen-taxiId:26, reqId:81, taxiLoc:1676, startLoc:9697, descLoc:6799, wait:-19.106451937488096
chosen-taxiId:33, reqId:27, taxiLoc:561, startLoc:9404, descLoc:9858, wait:-17.7180249000778
chosen-taxiId:49, reqId:68, taxiLoc:864, startLoc:9876, descLoc:7836, wait:-15.4571296785651
chosen-taxiId:13, reqId:25, taxiLoc:589, startLoc:7565, descLoc:4679, wait:-4.652486910377505
chosen-taxiId:56, reqId:59, taxiLoc:5322, startLoc:5947, descLoc:6731, wait:-2.1405289510062957
